,Survived,Pclass,Age,Fare,Familiy_Size,Sex=male,Embarked=Q,Embarked=S,Title=rareTitle,marital_status=no,marital_status=yes,Deck=B,Deck=C,Deck=D,Deck=E,Deck=F,Deck=G,Deck=T,Deck=unknown
331,0,1,45.5,28.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
733,0,2,23.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
382,0,3,32.0,7.925,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
704,0,3,26.0,7.8542,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
813,0,3,6.0,31.275,6,0,0,1,0,1,0,0,0,0,0,0,0,0,1
118,0,1,24.0,247.5208,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
536,0,1,45.0,26.55,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
361,0,2,29.0,27.7208,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,3,25.0,7.8958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
55,1,1,37.0,35.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
865,1,2,42.0,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
595,0,3,36.0,24.15,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
239,0,2,33.0,12.275,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
721,0,3,17.0,7.0542,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
81,1,3,29.0,9.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
259,1,2,50.0,26.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
486,1,1,35.0,90.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
716,1,1,38.0,227.525,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
800,0,2,34.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
781,1,1,17.0,57.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
542,0,3,11.0,31.275,6,0,0,1,0,1,0,0,0,0,0,0,0,0,1
326,0,3,61.0,6.2375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
534,0,3,30.0,8.6625,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
535,1,2,7.0,26.25,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1
483,1,3,63.0,9.5875,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
762,1,3,20.0,7.2292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
533,1,3,25.0,22.3583,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
713,0,3,29.0,9.4833,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
390,1,1,36.0,120.0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0
495,0,3,25.0,14.4583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
482,0,3,50.0,8.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
377,0,1,27.0,211.5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
365,0,3,30.0,7.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
412,1,1,33.0,90.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
468,0,3,25.0,7.725,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
409,0,3,25.0,25.4667,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1
7,0,3,2.0,21.075,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1
580,1,2,25.0,30.0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1
155,0,1,51.0,61.3792,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
880,1,2,25.0,26.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
425,0,3,25.0,7.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
101,0,3,25.0,7.8958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
199,0,2,24.0,13.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
424,0,3,18.0,20.2125,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
298,1,1,37.0,30.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
884,0,3,25.0,7.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
247,1,2,24.0,14.5,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1
478,0,3,22.0,7.5208,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
305,1,1,0.92,151.55,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0
316,1,2,24.0,26.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2,1,3,26.0,7.925,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
